Sequential Duration,Parallel Duration,Speedup
5877798,1070596,5.490211
5749218,1062574,5.410652
5763593,1099892,5.240144
5773450,1092127,5.286427
5780410,1093980,5.283835
5768689,1053512,5.475675
5766849,1060284,5.438966
5762891,1068857,5.391639
5766619,1075378,5.362411
5838731,1062735,5.494061
5764630,1047334,5.504099
5770470,1068218,5.401959
5774139,1042699,5.537685
5789407,1063497,5.443745
5778576,1052126,5.492285
5779640,1040872,5.552690
5762440,1079166,5.339716
5763203,1040971,5.536372
5774203,1043920,5.531270
5773617,1042157,5.540065
5771231,1069413,5.396634
5760518,1048789,5.492542
5762820,1036498,5.559895
5774981,1101741,5.241687
5771358,1050730,5.492713
5809102,1074010,5.408797
5770404,1025062,5.629322
5801523,1053376,5.507552
5799704,1043640,5.557188
5790992,1047840,5.526599
5759695,1044794,5.512757
5769890,1090079,5.293093
5763345,1058087,5.446948
5763716,1080102,5.336270
5762868,1032631,5.580762
5858533,1183611,4.949712
5925108,1043942,5.675706
5766056,1046551,5.509580
5772304,1067580,5.406905
5786306,1039175,5.568173
5769570,1073756,5.373260
5753188,1061885,5.417901
5817418,1047828,5.551883
5998952,1122642,5.343602
5801138,1070525,5.418965
5778737,1051668,5.494830
5794561,1061812,5.457238
5769497,1063637,5.424310
5767082,1069157,5.394046
5794088,1073230,5.398738
