Sequential Duration,Parallel Duration,Speedup
12649780,2187762,5.782064
12604975,2159335,5.837434
12572483,2167554,5.800309
12582917,2164896,5.812250
12596730,2190211,5.751377
12597861,2136961,5.895223
12577287,2190130,5.742713
12576986,2220962,5.662855
12608384,2187278,5.764418
12561744,2198782,5.713047
12576871,2153570,5.840010
12576139,2166941,5.803637
12583250,2198672,5.723114
12556781,2128728,5.898725
12557615,2146364,5.850646
12555163,2149865,5.839977
12607907,2166058,5.820669
12676653,2150844,5.893804
12608795,2139126,5.894368
12570653,2156822,5.828322
12544411,2186158,5.738108
12578606,2122619,5.925984
12589589,2149098,5.858080
12558810,2147433,5.848290
12577229,2143911,5.866488
12603348,2286660,5.511684
12618737,2144375,5.884576
12570466,2146056,5.857473
12577249,2155980,5.833658
12544331,2147559,5.841204
12576963,2103145,5.980074
12593616,2142333,5.878459
12563152,2168874,5.792477
12623802,2175511,5.802684
12603998,2183944,5.771209
12601607,2138132,5.893746
12567985,2172844,5.784117
12562456,2164142,5.804821
12562608,2160139,5.815648
12586491,2124380,5.924783
12561658,2176100,5.772555
12554907,2139834,5.867234
12572731,2174235,5.782600
12555115,2159787,5.813126
12618893,2120457,5.951025
12563788,2197783,5.716573
12560911,2134509,5.884684
12590076,2163162,5.820219
12574321,2187512,5.748229
12575543,2168674,5.798724
