Sequential Duration,Parallel Duration,Speedup
30981227,5446533,5.688247
30944442,5397951,5.732627
31010416,5439771,5.700684
30956942,5470256,5.659140
30952662,5421156,5.709605
30961021,5407843,5.725207
30970164,5356905,5.781354
30936479,5448766,5.677704
30987741,5429709,5.707072
31019968,5413603,5.730004
31071193,5373922,5.781847
31000292,5468819,5.668553
30982849,5354472,5.786350
31014259,5406136,5.736863
31017611,5433770,5.708304
31499908,5897790,5.340968
31056327,5495719,5.651003
31220136,5583856,5.591143
31510106,5452571,5.778945
31102062,5471335,5.684547
31114046,5384547,5.778396
31053113,5469383,5.677626
31012857,5448757,5.691731
31039807,5395385,5.753029
31051978,5432630,5.715828
31001694,5394381,5.747035
30969558,5522217,5.608175
30968461,5392489,5.742888
31001661,5451184,5.687143
30947941,5414147,5.716125
31001440,5438010,5.700880
30993895,5412417,5.726443
31000283,5388571,5.752969
31011694,5450733,5.689454
30988935,5444381,5.691912
30990613,5402325,5.736533
31010423,5487257,5.651352
31307162,5406358,5.790804
31015082,5404303,5.738961
30992680,5400362,5.739000
31003183,5380385,5.762261
30987050,5526263,5.607234
31018371,5416961,5.726157
30972387,5399225,5.736451
30969473,5419745,5.714194
30999473,5478714,5.658166
30996808,5474874,5.661648
31008528,5342448,5.804180
31050279,5445797,5.701696
30983661,5395123,5.742902
