Sequential Duration,Parallel Duration,Speedup
1877256,346629,5.415750
1801015,316746,5.685991
1799465,323191,5.567807
1794846,337503,5.318015
1793422,354057,5.065348
1790967,319245,5.610008
1803183,349530,5.158879
1798307,344892,5.214116
1792683,329636,5.438371
1801204,330479,5.450283
1792647,324003,5.532810
1790624,342786,5.223737
1793185,336936,5.322034
1788374,333856,5.356723
1807554,330493,5.469266
1795089,349698,5.133255
1800742,350915,5.131562
1800903,317034,5.680473
1805022,325588,5.543884
1792234,347126,5.163065
1809944,321130,5.636172
1793160,348475,5.145735
1794688,326277,5.500504
1789150,340721,5.251071
1790546,338932,5.282906
1802083,334786,5.382791
1797890,341014,5.272188
1795117,312680,5.741068
1791917,329681,5.435306
1791601,325251,5.508364
1789227,322153,5.553967
1796080,338675,5.303255
1788783,346548,5.161718
1804531,347764,5.188953
1793345,324519,5.526163
1795166,327548,5.480620
1786219,324322,5.507548
1793504,317091,5.656118
1795649,339266,5.292747
1796928,338395,5.310149
1834908,361680,5.073291
1784922,340049,5.249014
1791886,323682,5.535946
1788740,328666,5.442425
1791769,333441,5.373571
1802177,323244,5.575284
1813937,314062,5.775729
1796497,339312,5.294528
1789268,340404,5.256307
1801134,345269,5.216611
